th,en
ยอดผู้ป่วย,patient count
ยอดผู้ติดเชื้อ,infected count
ยังออกจากบ้านได้ไหม,Is it permitted to leave the house
การคัดกรองโควิดในประเทศไทย,Covid-19 screening in Thailand
สวัสดี เราคือ Watson Assistant เราพร้อมจะตอบคำถามเกี่ยวกับโควิดด้วยข้อมูลใหม่ล่าสุด มีคำถามอะไรไหม ?,"Hello, I’m Watson Assistant, ready to answer your questions about COVID-19 with the latest information. How can I help you?"
นี่ใช่สิ่งที่คุณต้องการหรือไม่ ?,You can:
หาข้อมูลจาก CDC สหรัฐอเมริกา,Get information from CDC - USA
หาข้อมูลจาก DDC ประเทศไทย,Get information from DDC - Thailand
การตรวจคัดกรองเชื้อ Covid-19 ในประเทศไทย,Covid-19 screening in Thailand
หาข้อมูลเกี่ยวกับการเดินทาง,Get travel information
นี่คือข้อมูลใหม่ล่าสุดจาก CDC:,Here are some of the most up-to-date bulletins from the CDC:
ดูวิดีโอนี้เพื่อเรียนรู้เกี่ยวกับ Covid-19,Watch this video to learn about COVID-19
ข้อเท็จจริงของ Covid-19 จาก CDC,Facts About COVID-19 from the CDC
ข้อมูลสำหรับนักเดินทางจาก CDC,CDC Information for Travelers
ข้อสรุปล่าสุดจาก CDC,Latest summary update from the CDC
โทรหาหมอทันทีหากคุณสัมผัสใกล้ชิดกับผู้ติดเชื้อ Covid-19,Call your doctor: If you are a close contact of someone with COVID-19
คุณอยู่ในแหล่งชุมชนที่มีการแพร่ระบาดของเชื้อโควิดและมีอาการเบื้องต้นของโรคโควิด,you are a resident in a community where there is ongoing spread of COVID-19 and develop symptoms of COVID-19
โทรปรึกษากับผู้เชียวชาญทางด้านสาธารณสุขและอธิบายถึงอาการและภาวะเสี่ยงของคุณ,"call your healthcare provider and tell them about your symptoms and your exposure. They will decide whether you need to be tested, but keep in mind that there is no treatment for COVID-19 and people who are mildly ill may be able to isolate and care for themselves at home."
เขาจะสามารถแนะนำคุณได้ว่าคุณควรจะต้องไปตรวจสอบหรือไม่,They will decide whether you need to be tested
อย่างไรก็ตาม ในขณะนี้ไม่มียารักษาสำหรับโรค Covid-19,but keep in mind that there is no treatment for COVID-19 and people who are mildly ill may be able to isolate and care for themselves at home.
ผู้ที่มีอาการป่วยเล็กน้อยอาจสามารถกักตัวอยู่ที่บ้านเพื่อรักษาตัวเองจนหาย,people who are mildly ill may be able to isolate and care for themselves at home.
โรงพยาบาลในไทยที่ให้บริการตรวจคัดกรองเชื้อสำหรับผู้ต้องสงสัยที่แสดงอาการของเชื้อไวรัสโคโรนา:,Thailand Hospital is offering screening tests for anyone in Thailand who suspects they are showing symptoms of the corona virus:
โรงพยายาลรับผู้ป่วย Covid-19 ในประเทศไทย: คลิกที่นี่เพื่อดูเพิ่มเติม,COVID-19 hospital in Thailand: click here to find our more
เราได้ทำการส่งข้อความถึงโทรศัพท์ของคุณแล้ว,The text message has been sent to your phone number.
คุณต้องการให้ส่งข้อความไปที่หมายเลขโทรศัพท์ใด ?,To what phone number should the text message be sent?
คุณได้ทำการจองการตรวจคัดกรองเชื้อโคโรน่าเรียบร้อยแล้ว,You can schedule a virtual appointment with a provider for Corona virus screening
คลิกที่นี่เพื่อดูเพิ่มเติม,click here to find out more
อาการของการติดเชื้อโคโรน่า (Covid-19) อาจดูเหมือนไข้หวัดหรืออาการป่วยทั่วไป,Symptoms of the coronavirus (COVID-19) can look similar to the flu and other common ailments.
เรามาเริ่มจากอาการพื้นฐานกันก่อน,Let's start with the most indicative symptom.
คุณมีไข้ไหม ?,Do you have a fever?
การมีไข้เป็นอาการอย่างหนึ่งของเชื้อโคโรนา,Fever is one of the symptoms of the corona virus.
คุณมีอาการหายใจติดขัดหรือไม่ ?,Do you have shortness of breath?
จากอาการข้างต้น คุณอาจติดเชื้อไวรัสโคโรนา,"Based on the symptoms you describe, you may have the coronavirus."
อาการอื่น ๆ ของการติดเชื้อโคโรนา ได้แก่ ไอ และ เจ็บคอ เป็นต้น,Other coronavirus symptoms include coughing and  sore throat.
จากอาการข้างต้น คุณอาจเป็นไข้หวัด,"Based on the symptoms you describe, you may just have the flu. "
อาการอื่น ๆ ของไข้หวัด ได้แก่ ไอ อ่อนเพลีย และ เหนื่อย เป็นต้น,"Other flu symptoms include coughing, fatigue, weakness, and exhaustion."
การหายใจติดขัดหมายถึงคุณหายใจลำบากขึ้นกว่าปกติ โดยเฉพาะการหายใจลึก ๆ,"Having shortness of breath means you're having trouble breathing, in particular taking deep breaths."
ผู้ติดเชื้อไวรัสโคโรนา มักมีไข้,Someone with coronavirus would typically have a fever. 
ไข้หวัดใหญ่​ (หรือที่มักเรียกสั้น ๆ ว่าไข้) เป็นโรคติดต่อในทางเดินหายใจ โดยมีสาเหตจากเชื้อไวรัสไข้หวัด,Influenza (also known as “flu”) is a contagious respiratory illness caused by influenza viruses. 
มันอาจมีอาการตั้งแต่ไม่สบายเล็กน้อยจนถึงเสียชีวิต,"It can cause mild to severe illness, and at times can lead to death."
อาการของหวัดอาจมีไข้และรู้สึกร้อนหรือหนาว ไอ เจ็บคอ มีน้ำมูก ขี้มูก ปวดเมื่อยตามตัว ปวดหัว และ อ่อนเพลีย,"The symptoms of flu can include fever or feeling feverish/chills, cough, sore throat, runny or stuffy nose, muscle or body aches, headaches and fatigue (tiredness). "
อาการของหวัดทั่วไปไม่รุนแรงเท่าไข้หวัด,Cold symptoms are usually milder than the symptoms of flu. 
คนที่ไม่สบายทั่วไปมักจะมีน้ำมูกหรือขี้มูกมากกว่า,People with colds are more likely to have a runny or stuffy nose. 
หวัดโดยทั่วไปมักไม่เป็นอันตรายต่อสุขภาพ,Colds generally do not result in serious health problems.
อย่างไรก็ตาม อาการของ Covid-19 คือการมีไข้ ไอ และ หายใจติดขัด,"However, COVID-19 causes a respiratory illness manifested by fever, cough and difficulty breathing. "
อาการเหล่านี้เป็นสัญญาณของโรค Covid-19,Those three symptoms together are indications of COVID-19. 
อย่างไรก็ตาม อาการของ Covid-19 อาจดูเหมือนไข้ธรรมดา เช่น ปวดเมื่อย เจ็บคอ มีน้ำมูก หรือ ท้องเสีย เป็นต้น,"However, COVID-19 infection can also produce symptoms similar to the flu like aches and pains, sore throat, runny nose, nasal congestion or diarrhea."
โทรปรึกษาหมอหรือนัดหมายการตรวจทางไกลกับผู้เชียวชาญทางด้านสาธารณสุข,Call your doctor or schedule a virtual visit with a medical professional. 
ไม่ควรไปพบแพทย์ที่สถานพยาบาลหรือศูนย์ผู้ป่วยฉุกเฉินโดยไม่โทรนัดหมายล่วงหน้า เนื่องจากสถานการณ์ของไวรัสโคโรนาขณะนี้,"Given heightened threat of coronavirus and the stress on the healthcare system, do not go to a doctor’s office, urgent care center or hospital emergency department without calling first."
หากคุณป่วยจากเชื้อ Covid-19 หรือสงสัยว่าจะติดเชื้อ Covid-19 ให้ทำตามขั้นตอนต่อไปนี้เพื่อป้องกันการระบาดภายในบ้านหรือแหล่งชุมชมของท่าน:,"If you are sick with COVID-19 or suspect you are infected with the virus that causes COVID-19, follow the steps below to help prevent the disease from spreading to people in your home and community:"
อยู่ที่บ้าน ยกเว้นจำเป็นต้องไปสถานพยาบาล,Stay home except to get medical care
แยกตัวเองให้ห่างจากผู้อื่นรวมถึงสัตว์เลี้ยงภายในบ้าน,Separate yourself from other people and animals in your home
โทรนัดหมายล่วงหน้าก่อนพบแพทย์,Call ahead before visiting your doctor
สวมหน้ากากหากไม่สบาย,Wear a face mask if you are sick
ล้างมือบ่อย ๆ,Clean your hands often
ทำความสะอาดพื้นผิวที่สัมผัสบ่อย ๆ ทุก ๆ วัน,"Clean all ""high touch"" surfaces everyday"
จากอาการที่กล่าวมา คุณน่าจะเป็นภูมแพ้ทั่วไป,"Based on the symptoms you describe, you may just have seasonal allergies. "
อาการอื่น ๆ ของภูมิแพ้ได้แก่ จาม และ มีน้ำมูก,Other allergy symptoms include sneezing and runny nose.
อาการทั่วไปอาจแตกต่างกันในแต่ละคน,Common symptoms can vary from person to person. 
ข้อมูลนี้เป็นเพียงคำแนะนำส่วนบุคคล,This information is intended to provide personal guidance. 
มีเพียงแพทย์ที่สามารถตรวจสอบยืนยันได้,Only your doctor can make a complete diagnosis. 
ควรพบแพทย์หากคุณมีอาการรุนแรง หรือ อาการที่อาจเป็นอันตรายถึงแก่ชีวิต,Seek immediate medical attention for any serious or life threatening health issue.
อาการภูมิแพ้ คือ อาการที่ภูมิต้านทานตอบสนองต่อเกษรดอกไม้หรือเชื้อรา,"Seasonal allergies, also known as allergic rhinitis or hay fever, are an immune response to pollen and mold. "
สิ่งที่แตกต่างจากไข้นั่นคือภูมิแพ้มักมีอาการต่อเนื่องหลายสัปดาห์จนถึงหลายเดือนหรืออาจหลายปี,"Unlike a cold or the flu, allergy symptoms often last for several weeks to months of the years.  "
ภูมิแพ้มักเป็นสาเหตุของการติดเชื้อในโพรงไซนัส หู และ ทางเดินหายใจ,"Allergies can also be an underlying cause of frequent sinus, ear, and respiratory infections. "
อาการได้แก่:,Symptoms include:
มีน้ำมูกในโพรงไซนัส,Sinus Congestion
น้ำมูกไหล,Runny Nose
เสมหะ,Post-Nasal Drip
จาม,Sneezing
ไอ,Coughing
คัน หรือ น้ำตาไหล,Itchy or Watery Eyes
ภูมิแพ้ทำให้จาม ไอ มีน้ำมูก และ คันผิวหรือตา แต่ covid-19 นั้นมีอาการได้แก่ ไข้ ปวดเมื่อยตามตัว หายใจลำบาก,"Seasonal allergies cause sneezing, coughing, runny nose and irritated skin or eyes while COVID-19 can be mild but can include fever, body aches and difficulty breathing. "
Covid-19 หรือ ไข้ จะแสดงอาการอย่างรวดเร็ว ในขณะที่อาการภูมิแพ้นั้นป้องกันได้ด้วยการลดการสัมผัส (อยู่กับบ้าน),COVID-19 or the flu come on quickly while allergies are mitigated by limiting exposure (not going outside).
จากอาการข้างต้น คุณอาจเป็นไข้หวัด,"Based on the symptoms you describe, you may just have a common cold. "
อาการของหวัดทั่วไปได้แก่ จาม และ น้ำมูกไหล,Other common cold symptoms include sneezing and runny nose.
อาการของหวัดทั่วไป,Common cold symptoms
วิธีการรักษาพยาบาลหวัดทั่วไป,Common cold primary treatments
ความแตกต่างของหวัดทั่วไป กับ ไข้หวัด,Common cold vs. flu
ความแตกต่างของหวัดทั่วไป กับ โคโรนา,Common cold vs. coronavirus
ถ้าไวรัสหวัดทั่วไป คุณจะพบว่าคุณจำเป็นต้องพกกระดาษทิชชู่ติดตัวไปหลายวัน,"If it’s a cold virus, you may find yourself close to a tissue box for several days. "
โดยทั่วไปแล้ว หวัดจะหายได้เองภายใน 10 วันหรือน้อยกว่านั้น,"Most of the time, colds get better on their own in 10 days or less. "
หวัดอาจมีอาการอย่างอื่นร่วมด้วยที่ทำให้คุณรู้สึกลำคาญ ได้แก่,Colds bring on a nasty mix of symptoms that can really wear you down. They can include:
เจ็บคอ,Sore throat 
ปวดหัว,Headache 
มีขี้มูก,Stuffy nose
ปวดกล้ามเนื้อ,Mucus buildup
อ่อนเพลีย,Fatigue 
โพรงไซนัสอักเสบ,Swollen sinuses
ไข้ (มักจะมีไข้ต่ำในผู้ใหญ่ แต่อาจมีไข้สูงในเด็ก),Fever (usually low-grade in adults but higher in children)
ถึงแม้ว่าคุณจะสามารถโทรหาหมอเพื่อขอคำแนะนำ แต่หวัดโดยทั่วไป ไม่จำเป็นต้องหาหมอ ยกเว้นคุณมีอาการอย่างอื่นร่วมด้วย เช่น,"While you can certainly call your primary physician for advice and guidance the nominal cold will not require a doctor visit unless secondary indications require a visit – for example, "
ถ้าคุณมีอาการไซนัสอักเสบ,if you contract a sinus infection or
เริ่มมีปัญหาในการหายใจ หรือ เจ็บปอดหรือหน้าอก,begin to have more severe breathing issues or lung and chest pains. 
เพราะว่าหวัดทั่วไปคือไวรัส ยาปฏิชีวนะจะใช้ไม่ได้ผล,"Because the common cold is a virus, antibiotics won’t help. "
แต่ยาที่สามารถหาได้ตามร้านขายยาทั่วไปอาจสามารถช่วยให้คุณรู้สึกดีขึ้นได้,But over-the-counter medications may make you feel better.
อาการของไข้หวัดได้แก่ มีไข้ ตัวร้อน หรือ หนาว ไอ เจ็บคอ มีน้ำมูก ขี้มูก ปวดเมื่อย ปวดหัว อ่อนเพลีย,"The symptoms of flu can include fever or feeling feverish/chills, cough, sore throat, runny or stuffy nose, muscle or body aches, headaches and fatigue (tiredness). "
อาการหวัดมักจะเบากว่าไข้หวัด,Cold symptoms are usually milder than the symptoms of flu.
CDC ถือว่าคนนั้นมีไข้หากเขาหรือเธอมีอุณหภูมิสูงกว่า 100.4 องศาฟาเรนไฮ (38 องศาเซลเซียส) หรือรู้สึกอุ่นจากการสัมผัส หรือรู้สึกตัวร้อน,"The CDC considers a person to have a fever when he or she has a measured temperature of 100.4° F (38° C) or greater, or feels warm to the touch, or gives a history of feeling feverish."
ทุกคนควรอยู่ที่บ้านเพื่อหยุดการแพร่กระจายของเชื้อไวรัสโคโรนา,Everyone must stay at home to help stop the spread of coronavirus. 
คุณควรทำตัวคุณเองให้สถอาดและล้างมือบ่อย ๆ โดยเฉพาะหลังจากคุณสัมผัสกับสิ่งที่อาจมีเชื้อโรค,You should keep yourself clean and wash your hand regularly especially after you've got contact to object that might be contaminated.
คุณควรออจากบ้านเฉพาะ 1 ใน 4 เหตุผลเหล่านี้เท่านั้น,You should only leave the house for 1 of 4 reasons:
ซื้อสิ่งของจำเป็น เช่น อาหาร ยา ซึ่งควรจะถี่น้อยที่สุด,"shopping for basic necessities, for example food and medicine, which must be as infrequent as possible"
ออกกำลังกายแบบเดียว เช่น วิ่ง เดิน ขี่จักรยาน คนเดียว หรือกับครอบครัว,"one form of exercise a day, for example a run, walk, or cycle – alone or with members of your household"
ความจำเป็นทางการแพทย์ หรือการช่วยเหลือบุคคลอื่น,"any medical need, or to provide care or to help a vulnerable person"
การไปกลับที่ทำงาน แต่ควรจะเฉพาะเท่าที่จำเป็น เช่นงานที่ไม่สามารถทำจากที่บ้านได้,"travelling to and from work, but only where this absolutely cannot be done from home"
บุตรหลานของคุณเรียนโรงเรียนแบบใด ?,What type of school do your children attend?
รหัสไปรษณีย์ของที่อยู่คุณคืออะไร​ ?,What zip code do you live in?
วิทยาลัยและมหาวิทยาลัยในรหัสไปรษณีย์ $zip_code ได้เปลี่ยนเป็นการเรียน online,Colleges and universities in zip code $zip_code have moved their classes online. 
กรุณาติดต่อโรงเรียนของคุณสำหรับข้อมูลเพิ่มเติม,Please contact your school for further details.
ทุกโรงเรียนระดับต่ำกว่าวิทยาลัย/มหาวิทยาลัยในรหัสไปรษณีย์ $zip_code ปิดจนกว่าจะมีประกาศเป็นอย่างอื่น,All schools below the college/university level in zip code $zip_code will remain closed until further notice.
คุณควรทำตามคำแนะนำของ CDC ในการเดินทางทุกชนิด,Follow the CDC's guidelines for all travel. 
คุณสามารถหาข้อมูลเกี่ยวกับการห้ามเดินทางของแต่ละประเทศรวมถึงแผนที่การประเมินความเสียงการกระจายของ Covid-19 ได้ที่นี่,You can find travel restrictions by country as well as a Geographic Risk Assessment map for COVID-19 transmission here.
ติดตามแผนที่การประเมินความเสี่ยงระดับภูมิภาคของแพร่ระบาด Covid-19 ได้ที่นี่,Follow the Geographic Risk Assessment map for COVID-19 transmission here.
คุณสามารถพบรายการสถานพยาบาลของเอกชนและรัฐได้ที่นี่,You can also find a list of State and Local Health Departments here
ถ้าคุณต้องการเดินทางกลับไปที่สหรัฐ CDC แนะนำให้ทำดังต่อไปนี้,"If you are returning to the US from international travel, the CDC recommends following these guidelines"
ข้อมูลเกียวกับ Visa ที่เกี่ยวข้องกับไวรัสโคโรนาจากการเดินทางไปต่างประเทศ,Information for Visa Applicants Regarding Novel Coronavirus read more.
อยู่กับบ้าน 14 วันนับจากวันที่คุณเดินทางกลับมาถึง,Stay home for 14 days from the time you returned from international travel. 
ภายใน 14 วันนี้ ทำตามขั้นตอนดังต่อไปนี้เพื่อตรวจสอบสุขภาพของคุณ อย่าลืมอยู่ห่างจากคนรอบข้าง,"During this 14-day period, take these steps to monitor your health and practice social distancing:"
วัดอุณหภูมิของคุณด้วยเทอร์โมมิเตอร์สองครั้งต่อวันเพื่อตรวจสอบไข้,Take your temperature with a thermometer two times a day and monitor for fever. 
สังเกตว่ามีการไอ หรือหายใจลำบากหรือไม่,Also watch for cough or trouble breathing.
อยู่กับบ้านและหลีกเลี่ยงการปฏิสัมพันธ์กับบุคคลอื่น,Stay home and avoid contact with others. 
ห้ามไปทำงานหรือโรงเรียน,Do not go to work or school.
ห้ามเดินทางโดยใช้ระบบขนส่งมวลชน แท็กซี่ หรือ อาศัยรถผู้อื่น,"Do not take public transportation, taxis, or ride-shares."
รักษาระยะห่างจากผู้อื่น (ประมาณ 6 ฟุตหรือ 2 เมตร),Keep your distance from others (about 6 feet or 2 meters).
สำหรับข้อมูลเกี่ยวกับการห้ามเดินทาง ดูได้ที่นี่,"For more information on travel restrictions, visit here"
กระทรวงสาธารณะสุข โดยกรมควบคุมโรค ได้มีคำแนะนำสำหรับการเดินทางข้ามชาติ,Ministry of Public Health By the Department of Disease Control There are suggestions for those traveling to or from abroad. 
เผยแพร่บนเว็บไซต์ https://ibm.biz/Bdqfk2 ,Publish on website https://ibm.biz/Bdqfk2 
หากคุณเดินทางกลับมาจากประเทศที่กำลังมีการแพร่ระบาด หากไม่มีความจำเป็นกระทรวงสาธารณะสุขแนะนำให้ท่านงดการเดินทางโดยใช้ระบบขนส่งมวลชน,When traveling back from a country that has an ongoing epidemic The Ministry of Public Health recommends refraining from going out in public places unnecessarily. 
และคุณควรวัดอุณหภูมิร่างกายทุกวันจนครบ 14 วันนับจากวันแรกที่กลับสู่ประเทศไทย หากคุณมีไข้ และ ไอ ติดต่อเบอร์ 1422,"And measure body temperature daily until 14 days have elapsed after traveling to Thailand During the symptom observation, if there is a fever, cough, report 1422."
อาการเบื้องต้นของ Covid-19 คือ ไข้ ไอแห้ง และหอบ,"The most common symptoms of COVID-19 are fever, a dry cough, and shortness of breath. "
อาการอาจเกิดขึ้นในช่วงเวลา 2-14 วันหลังจากได้รับเชื้อ,These symptoms may appear 2-14 days after exposure.
โทรปรึกษาแพทย์ หากคุณคิดว่าคุณได้รับเชื้อ Covid-19 และเริ่มมีไข้ ไอ และหายใจลำบาก,"Call your doctor: If you think you have been exposed to COVID-19 and develop a fever and symptoms, such as cough or difficulty breathing, "
โทรปรึกษากับผู้เชียวชาญทางด้านสาธารณสุขเพื่อขอคำแนะนำในการรักษา,call your healthcare provider for medical advice.
หากคุณมีอากา Covid-19 ขั้นรุนแรง กรุณาพบแพทย์โดยทันที,If you develop emergency warning signs for COVID-19 get medical attention immediately. 
สัญญาณเตือนขั้นรุนแรงได้แก่,Emergency warning signs include: 
หายใจลำบากและหอบหืด,Difficulty breathing or shortness of breath
เจ็บ ปวด หรือ รู้สึกเหมือนถูกทับบริเวณหน้าอก,Persistent pain or pressure in the chest
สับสน หรือ ขาดการตื่นตัว,New confusion or inability to arouse
ปากหรือหน้าแดง,Bluish lips or face
หากต้องการข้อมูลเพิ่มเติม ดูที่ https://ibm.biz/BdqfkZ,"For more information, visit:  https://ibm.biz/BdqfkZ"
พบข้อมูลการเตือนเกี่ยวกับ Covid-19 ได้ที่นี่,Find our Covid-19 alert document: click here to find our more
อาการหอบหมายถึงอาการหายใจลำบาก มาโยคลินิคได้อธิบายไว้ที่นี่,Shortness of breath refers to difficulty breathing. The Mayo clinic has a definition here.
